open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-03-16 09:00:00+00:00,2242.6,2265.0,2238.37,2259.24,206733.743,2026-03-16 09:59:59.999000+00:00,465803513.0194,,,,0
2026-03-16 10:00:00+00:00,2259.23,2277.88,2255.17,2277.12,306714.955,2026-03-16 10:59:59.999000+00:00,695126148.50919,,,,0
2026-03-16 11:00:00+00:00,2277.12,2279.68,2264.8,2268.81,200661.269,2026-03-16 11:59:59.999000+00:00,455986317.0284,,,,0
2026-03-16 12:00:00+00:00,2268.82,2302.99,2268.67,2278.19,696406.964,2026-03-16 12:59:59.999000+00:00,1592731971.15868,,,,0
2026-03-16 13:00:00+00:00,2278.19,2308.0,2270.52,2287.56,658784.034,2026-03-16 13:59:59.999000+00:00,1508272795.53468,,,,0
2026-03-16 14:00:00+00:00,2287.56,2303.96,2253.51,2286.84,704233.039,2026-03-16 14:59:59.999000+00:00,1604070570.94992,,,,0
2026-03-16 15:00:00+00:00,2286.83,2298.5,2268.62,2272.42,312491.326,2026-03-16 15:59:59.999000+00:00,713818461.13243,,,,0
2026-03-16 16:00:00+00:00,2272.41,2299.79,2268.62,2296.07,282094.589,2026-03-16 16:59:59.999000+00:00,644798274.06375,,,,0
2026-03-16 17:00:00+00:00,2296.08,2321.46,2292.19,2313.44,409639.038,2026-03-16 17:59:59.999000+00:00,945570506.72805,,,,0
2026-03-16 18:00:00+00:00,2313.44,2345.0,2312.67,2320.66,570963.21,2026-03-16 18:59:59.999000+00:00,1331453063.84488,,,,0
2026-03-16 19:00:00+00:00,2320.65,2347.99,2317.15,2329.98,267631.126,2026-03-16 19:59:59.999000+00:00,624167827.11345,,,,0
2026-03-16 20:00:00+00:00,2329.98,2346.85,2322.37,2344.11,142260.738,2026-03-16 20:59:59.999000+00:00,332146559.99148,,,,0
2026-03-16 21:00:00+00:00,2344.11,2376.05,2342.38,2359.63,393485.89,2026-03-16 21:59:59.999000+00:00,927213767.39406,,,,0
2026-03-16 22:00:00+00:00,2359.63,2385.78,2353.97,2356.69,304849.153,2026-03-16 22:59:59.999000+00:00,722059247.45827,,,,0
2026-03-16 23:00:00+00:00,2356.69,2361.01,2328.85,2351.66,296528.674,2026-03-16 23:59:59.999000+00:00,695299231.51417,,,,0
2026-03-17 00:00:00+00:00,2351.66,2377.0,2339.0,2356.55,453717.525,2026-03-17 00:59:59.999000+00:00,1070042788.08418,,,,0
2026-03-17 01:00:00+00:00,2356.54,2375.94,2345.57,2359.83,319160.202,2026-03-17 01:59:59.999000+00:00,753460865.26124,,,,0
2026-03-17 02:00:00+00:00,2359.83,2360.67,2343.39,2349.96,175292.87,2026-03-17 02:59:59.999000+00:00,412176896.19508,,,,0
2026-03-17 03:00:00+00:00,2349.96,2354.85,2306.87,2319.11,561598.169,2026-03-17 03:59:59.999000+00:00,1304520265.3619,,,,0
2026-03-17 04:00:00+00:00,2319.12,2329.0,2292.57,2310.27,428905.121,2026-03-17 04:59:59.999000+00:00,991958444.24349,,,,0
2026-03-17 05:00:00+00:00,2310.27,2317.69,2296.67,2306.3,179559.702,2026-03-17 05:59:59.999000+00:00,414379290.79578,,,,0
